Order_ID,Product,Category,Salesperson,Region,Units_Sold,Unit_Price,Total_Sales,Order_Date,Customer_ID
1,Smartphone,Electronics,Tracy Hodge,East,8,485.26,3882.08,2023-07-06,882cad42-3d54-4731-8137-712dbc59baa8
2,Smartphone,Electronics,Anthony Stevens,North,19,872.75,16582.25,2024-11-21,78be554a-4255-48ec-8f26-67fa267497c5
3,Laptop,Electronics,Ryan Hill,South,8,1035.44,8283.52,2023-06-05,77d681ab-e71e-4142-9443-62a0936c252b
4,Laptop,Electronics,Jennifer Wilson,South,18,868.06,15625.08,2024-09-03,a637e154-244f-49cd-b987-fc6e353f65d7
5,Camera,Electronics,John Lamb,East,1,1529.67,1529.67,2023-11-25,cb58f049-53bf-4c49-9c99-c6be15743020
6,Headphones,Accessories,James Noble,West,11,591.85,6510.35,2023-11-21,57b36679-b7a2-4ed5-8131-b1051f1f9f16
7,Monitor,Electronics,Jeffrey Bailey,East,4,230.85,923.4,2024-10-16,f0fe1cca-5540-4df2-a496-e7a51a858103
8,Smartphone,Electronics,Adrian Allen,East,20,565.82,11316.4,2023-12-10,f1223ff8-ef85-4385-af97-302e2c44ad3f
9,Laptop,Electronics,Seth Howell,West,18,293.41,5281.38,2025-01-23,d1a0c967-cbb8-4ff7-82b7-2a65443d6121
10,Printer,Electronics,Ryan Hill,East,20,1776.63,35532.6,2024-11-30,fb43bd2e-b82f-49d7-aa87-f6bd87ddcf2e
11,Mouse,Accessories,John Ball,South,3,139.36,418.08,2023-06-15,35f71c8a-39f3-4950-8226-d61af4b5248c
12,Monitor,Electronics,Amber Nixon,East,3,1717.87,5153.61,2023-10-10,f1f17b51-5b7c-4725-81ca-a1328d628c20
13,Smartphone,Electronics,Jeremy Clements,East,15,1289.58,19343.7,2023-07-11,2274df0a-4db4-4f76-9496-cc042d48b5be
14,Mouse,Accessories,Jerry Martin,East,12,458.54,5502.48,2023-08-25,fea43682-faaa-4f22-805a-936207936c7e
15,Keyboard,Accessories,James Noble,North,20,1288.21,25764.2,2024-12-06,6494e44d-8f8e-4c98-be0c-cbe4c846db14
16,Tablet,Electronics,Seth Howell,South,6,951.41,5708.46,2024-11-20,9fceeaa5-9f5f-41f1-a1cf-e6d7ce56829f
17,Keyboard,Accessories,Dr. Tracy Ritter,South,11,1693.56,18629.16,2025-01-16,93347dae-51ee-40b7-ae06-9639ad10723e
18,Laptop,Electronics,Pamela Miranda,North,11,832.27,9154.97,2025-02-18,a6591053-8fcf-4c04-a8b4-55dbbd943f7f
19,Smartphone,Electronics,Mary Coleman,East,7,1328.11,9296.77,2025-04-20,2fc9c9af-6b3b-4787-adcd-74010615236c
20,Printer,Electronics,Stephanie Munoz,West,5,566.52,2832.6,2024-08-28,2958d0a7-53d5-4365-b146-2fb31a39b36d
21,Monitor,Electronics,Ashley Thomas,East,19,885.45,16823.55,2023-08-12,e2df96de-37ab-4d07-ac4c-73c3750a33de
22,Printer,Electronics,Anna White MD,South,5,1043.58,5217.9,2024-06-10,d9051829-5f85-4b75-b43a-6fdd47ee4818
23,Smartphone,Electronics,Jeffrey Bailey,North,4,348.04,1392.16,2023-11-03,7a66afb1-19e6-4efe-b29c-5cd86fff66c9
24,Headphones,Accessories,Anthony Stevens,West,20,173.88,3477.6,2025-03-20,522d12f2-4337-4b3f-b4d8-715f2ba6cf4b
25,Printer,Electronics,Lucas Li,West,17,540.26,9184.42,2023-09-09,7d1ae80e-29b7-4bee-90c9-24de28b702c3
26,Tablet,Electronics,John Montoya,North,18,1514.21,27255.78,2024-03-02,7d0c773b-c209-4f2b-b8b3-f19a0c83871f
27,Mouse,Accessories,Samantha Smith,East,14,358.41,5017.74,2023-06-22,d7b668db-1a38-4e1b-878c-bf2905117e56
28,Laptop,Electronics,Seth Howell,East,17,1535.83,26109.11,2024-02-02,6826e4e6-e712-456c-8fe1-b060e8e6b68f
29,Tablet,Electronics,Angela Gutierrez,East,17,1237.49,21037.33,2024-09-05,ca75cd12-00d5-4afb-9329-d2a7e4164eae
30,Headphones,Accessories,Anna White MD,South,18,1909.32,34367.76,2025-03-28,d441c68e-1172-48d1-8e9f-2db77992a16c
